,Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
70654,3310,14,503,86,2952,202,211,3381
82087,3354,10,297,62,3078,219,248,1092
5005,2052,23,201,95,247,238,189,443
99806,3102,2,484,7,5317,223,237,1482
68303,2967,8,295,28,2474,229,224,2191
65100,3241,23,603,106,630,195,254,2581
96302,2802,22,469,169,2470,251,207,2058
53289,2879,12,85,10,3207,237,238,2548
80549,2796,12,90,8,430,238,221,2543
10160,2965,11,120,13,4459,224,247,5436
89029,3307,9,382,42,1104,223,220,607
99325,2942,8,361,134,4916,198,233,4943
48189,2871,24,0,0,247,250,198,1489
40569,3216,2,313,17,306,220,240,1148
107901,3197,17,124,35,1477,245,228,2697
41140,3276,23,339,115,1682,252,212,2768
58276,2758,12,424,109,2012,190,226,2167
69067,3108,11,67,-7,2341,239,234,3283
84065,2959,4,212,14,4589,224,231,5844
90706,3188,10,67,-1,2193,236,223,1664
56367,2953,25,124,54,5582,178,254,977
28970,3096,20,108,46,5034,240,199,1708
19536,2837,11,210,37,1742,220,216,2624
58987,2376,16,242,92,1382,244,229,959
49758,3257,17,430,118,2362,170,227,108
56007,3272,16,175,27,1516,235,241,2791
44801,2883,13,108,-2,1867,199,252,1518
23163,3071,14,134,12,1714,223,249,182
36173,2546,5,234,25,335,215,229,1343
112826,3100,2,42,0,931,214,238,1632
76343,2696,11,268,68,3568,239,232,2438
105607,3071,6,295,7,5169,214,228,2598
32112,2794,6,90,12,1996,224,228,1965
62840,2858,20,85,13,841,197,196,1879
27914,2822,3,85,12,2379,220,232,2634
114229,3208,17,633,127,6055,200,254,2296
78625,2264,11,0,0,1120,189,232,365
17541,2561,14,218,52,1120,238,238,1621
64890,3368,12,283,113,3466,196,250,571
31569,3018,11,570,48,2750,240,229,2577
108933,2927,14,192,16,1591,216,251,1343
84387,2210,23,210,73,1062,168,197,781
11000,2967,12,558,239,3229,201,217,1456
57144,2930,12,0,0,2080,208,216,816
70348,2909,25,300,146,443,152,204,1140
91597,3225,16,175,11,1689,236,208,2300
23604,3123,17,603,15,1922,194,207,3328
97412,3256,15,30,5,3918,226,207,1909
51161,2936,12,379,27,5792,206,252,5392
113698,2034,2,0,0,564,221,239,607
95805,3172,8,371,27,957,217,223,2523
89658,2868,20,285,52,3376,226,194,3000
41608,3142,9,120,16,1528,194,239,631
94417,3283,22,268,-43,2966,202,254,450
20865,2919,8,150,12,2028,201,245,1222
37818,3261,21,190,34,1578,187,193,2805
63966,3158,14,404,89,1050,205,210,1509
37149,2756,13,150,32,1846,242,230,323
13364,2790,8,228,5,376,221,223,752
67127,3062,19,324,70,2461,180,208,2301
53241,3265,11,443,58,4092,228,245,2060
66609,2956,17,60,9,3957,200,203,2496
12734,2842,11,240,31,1463,232,242,3024
86720,2462,15,295,18,685,175,234,1249
84906,3126,10,42,-2,3018,230,219,2166
62140,2840,35,330,202,1698,114,232,1415
1566,3114,12,342,53,3054,232,217,1660
88345,2864,12,90,14,2764,194,224,2662
51291,2991,9,402,87,4784,211,221,3719
58138,2945,24,127,40,1495,202,181,1495
106965,3001,9,342,36,5285,235,226,5961
86337,2416,14,242,60,779,244,223,1279
73215,2972,3,319,55,5257,225,234,2630
99082,2907,26,480,261,1333,140,221,1758
67277,2589,8,390,20,1332,218,222,4168
55993,2986,9,300,72,3532,224,221,2012
52612,2384,29,127,41,607,225,165,430
59644,2218,31,42,8,824,164,164,1095
110668,2861,9,108,17,2991,202,226,2877
68716,3084,12,153,13,3844,225,213,1824
37925,2918,17,577,49,2192,195,206,1471
96616,3039,8,270,61,2482,202,231,1047
34481,2894,14,153,54,582,233,242,1189
60618,3015,11,330,60,1315,210,217,2409
6095,2625,13,335,97,830,233,242,1276
103667,2286,17,153,42,216,194,206,706
58619,3100,12,454,41,450,234,241,1261
96626,2543,8,234,31,295,229,223,1333
923,2346,18,30,5,309,197,254,636
85383,2639,9,234,-9,361,229,223,1289
110474,3249,15,661,173,977,203,207,2047
93908,2543,16,390,27,1024,203,204,1048
53047,2839,26,108,42,4503,249,220,319
86166,2854,22,216,12,721,175,198,1248
102819,2955,9,30,1,323,200,247,743
12642,3476,28,67,39,3252,239,173,2584
85458,3141,17,484,33,2933,193,206,2850
1221,3196,9,499,-17,598,223,247,2315
50196,3104,10,210,55,1677,210,221,492
104723,3243,5,492,9,459,213,244,612
58539,3211,14,636,47,2045,196,214,2367
89484,2869,27,134,43,845,152,188,1421
73248,3121,0,60,3,2362,217,238,2032
103940,2783,8,592,49,240,219,222,902
40588,3109,14,547,68,5713,225,248,1507
29881,2488,7,242,45,180,202,235,1718
54934,3191,13,190,31,3636,234,242,1690
67372,3229,8,95,-1,4264,231,240,2264
17090,2880,31,124,52,420,232,161,313
22001,3288,25,872,-59,1284,247,223,2765
6016,2994,13,150,21,2550,184,233,2367
37800,2662,32,175,79,1889,253,199,2746
30605,3236,2,335,2,175,215,240,1206
98711,2472,12,30,-1,379,200,218,1492
90836,3047,15,95,16,3058,193,252,812
34273,3121,4,30,3,2375,212,234,2058
91936,2912,11,600,263,875,239,231,450
77504,3398,3,659,-55,755,225,234,518
92932,2849,4,108,40,1692,218,232,2292
88537,2783,10,134,33,2561,223,247,2422
48031,3083,6,30,-3,1518,229,231,3180
17425,2876,15,361,57,1574,226,207,2814
23796,2750,4,67,2,1812,209,235,792
33629,2955,22,170,33,4984,221,185,3181
42079,2951,16,644,115,1589,222,203,2851
46780,3085,14,95,20,5269,216,208,2746
45346,2774,7,295,38,1498,211,227,2442
97150,2861,22,120,42,2379,230,189,2190
115531,3222,15,240,79,4710,180,226,960
105352,2690,8,60,0,1398,225,223,633
92644,2573,21,218,98,2190,202,192,618
59558,3315,8,210,17,1532,197,237,1633
79523,2609,14,323,64,1583,243,222,1786
49532,3230,14,488,159,3594,219,209,1795
81027,2783,11,95,22,2173,236,221,3375
28815,3144,13,350,53,3886,199,215,990
15122,3250,10,404,45,3289,237,232,4524
69454,2901,25,150,79,2250,251,195,1660
8246,2773,19,0,0,2773,220,195,4560
74582,3161,7,277,19,1040,209,228,2362
7067,3074,19,256,31,1087,221,194,2182
5072,2748,6,0,0,1158,210,246,902
21756,2533,20,150,49,872,213,252,819
107540,2951,15,702,151,2613,223,249,1616
64095,3112,14,60,-5,2572,233,211,1266
110988,3052,10,85,9,3502,216,217,2761
86299,2890,17,450,193,774,231,203,983
3200,2581,7,67,3,780,221,246,1325
98320,3199,10,30,-3,3056,221,218,4036
98684,2658,12,323,11,1150,238,219,418
71223,2460,7,150,28,735,212,226,1448
107679,3207,30,212,-41,3293,123,220,2105
33296,3350,14,534,200,2638,223,249,799
90939,2720,10,30,2,2370,230,219,514
49861,3222,18,120,16,1839,233,243,1728
7726,3047,2,339,138,2676,221,239,1627
94860,3188,16,514,-2,3702,196,208,2949
60065,3074,8,624,-52,2405,211,248,1423
4367,3001,17,150,2,1360,208,202,1342
22512,2892,2,182,14,3768,221,239,3601
75636,2978,10,0,0,5334,227,245,2155
105790,2835,14,309,82,3407,229,245,3102
88282,3244,9,726,62,4367,206,222,2430
24938,2930,12,700,135,3017,208,215,1507
98195,3232,14,446,-18,661,221,208,2490
27781,2964,7,67,-7,5424,201,233,2329
1059,2984,14,509,158,342,229,209,591
78026,2806,16,162,41,2592,228,246,2451
100596,3272,19,175,23,3319,231,244,1317
103263,2907,13,685,261,1154,207,252,1839
98420,2840,10,350,45,3355,236,227,6414
64207,3145,10,90,7,2062,228,244,2652
41861,3071,26,218,52,1381,156,190,1445
52641,3223,11,90,28,4650,232,218,1396
88956,2239,30,60,42,1144,156,172,642
71530,2972,4,726,76,6054,216,244,5950
99990,2296,29,285,4,1100,140,188,1155
25231,2855,9,319,55,3589,228,244,3264
86432,2578,23,30,9,1837,184,187,1359
107158,3119,14,150,16,3355,196,215,3001
63369,3005,13,42,7,934,239,217,2713
25817,3187,24,30,9,4203,187,186,3513
12229,2870,36,828,377,934,100,211,1948
52858,3098,8,120,6,1614,217,222,3030
22581,3185,26,210,134,830,139,222,2322
40947,3317,13,175,47,5743,200,215,716
25541,2885,25,395,169,3054,172,186,1657
63432,3185,5,192,8,3356,213,244,1436
113563,3018,18,60,17,2067,233,200,2971
10997,3072,6,450,23,3154,228,229,339
93194,2816,11,418,86,2630,239,224,2006
111342,2033,18,330,72,454,246,212,108
113055,2864,19,404,230,902,201,254,1803
20950,3136,15,192,20,2160,244,219,3124
88494,3168,11,485,26,3276,227,216,3961
44365,3082,12,228,26,5689,193,247,2022
19315,2816,10,175,-2,1224,233,220,2568
51915,2148,27,228,26,450,175,177,845
88544,2768,14,127,16,1965,179,234,2571
62687,2856,14,42,8,1366,243,224,2408
54898,3010,7,335,64,5820,200,239,1832
77727,3077,11,216,13,3597,209,219,778
109244,3004,9,134,19,4227,236,234,3975
46325,2983,6,216,30,2060,216,227,2894
22276,2640,22,324,99,532,251,213,2465
53593,2451,18,319,67,537,200,202,1179
83009,3015,3,242,35,4237,217,232,860
31317,2240,28,242,192,430,156,181,362
74104,2136,21,30,7,408,236,239,470
88162,3083,13,127,7,3520,242,229,402
76987,2638,32,124,69,1132,251,204,708
26094,3140,18,90,31,4779,166,231,1142
44612,3042,13,256,56,2580,196,217,1061
114863,2680,18,360,93,2208,177,212,1723
82741,2937,17,108,6,2854,175,220,2089
93943,2685,19,234,80,870,220,196,1894
99682,3255,9,582,145,3568,204,248,1981
11746,3353,24,469,157,577,155,205,700
16434,2221,17,0,0,1140,189,207,404
22684,2722,19,180,27,1423,190,254,1224
62817,2657,12,95,-7,1290,237,219,663
92424,3202,3,30,-1,5815,222,240,872
30310,3265,14,698,189,713,230,209,2087
55899,2966,22,420,112,5102,160,210,499
11834,2941,16,503,59,1932,240,209,2667
68352,2840,35,218,89,2440,105,203,664
34059,2818,4,210,14,3258,226,234,6145
80979,3128,8,467,-57,1053,202,229,1015
73370,2864,12,323,21,1958,200,218,1622
111991,2943,16,192,50,4562,229,204,3681
55328,3286,4,430,21,5820,212,233,658
96786,3246,7,60,8,4661,202,243,1040
17642,2930,6,90,7,1681,210,230,1666
11147,2771,17,60,14,1959,169,232,3287
38595,3037,10,170,23,3065,228,219,1410
96871,2894,3,297,13,1110,218,233,2320
73458,3140,15,845,161,6216,185,249,1300
8028,2975,10,300,20,3219,230,219,6437
6884,2861,9,180,30,2863,228,243,2290
11951,3015,21,566,76,532,246,228,1928
43900,2582,10,108,15,960,228,219,993
100421,2815,9,30,2,1209,204,248,323
24950,3029,8,335,119,1895,215,222,2581
103638,2826,10,182,25,1289,216,218,2034
77133,3080,11,95,14,2295,211,218,2289
2609,3226,3,170,12,1478,212,240,566
52841,2690,10,0,0,1939,197,247,1012
66869,3220,8,339,36,481,224,223,949
43283,3212,14,60,9,2807,224,248,2520
86104,2718,27,361,191,972,235,175,886
79901,3110,8,285,54,816,207,226,1396
18478,3154,12,182,49,2582,190,245,892
54402,2834,18,175,82,3573,194,201,5910
65582,3126,16,127,20,3620,246,224,4207
50178,2622,4,182,10,741,214,233,997
83109,2320,24,30,9,949,177,189,926
21981,2468,31,90,38,108,183,250,834
81699,2942,12,560,107,3000,205,217,3436
72563,3247,16,255,13,1541,226,202,2401
31273,3227,17,433,95,735,247,222,5504
39501,2863,5,417,60,2236,227,233,1931
58519,2140,22,60,8,997,160,244,1383
40195,2478,14,67,8,1565,239,214,648
58124,2451,23,430,200,624,153,215,474
80270,3042,27,256,106,1744,252,213,2769
110499,3092,11,216,31,2912,198,248,362
40826,2776,6,277,19,1852,223,243,2773
98977,3107,16,497,-18,2758,188,212,679
50019,3027,17,751,49,5664,171,236,6186
95215,3119,8,120,16,990,226,244,1742
90185,2923,12,150,10,3587,188,228,2402
51004,3116,9,90,3,6935,231,241,2460
110254,2920,9,60,7,3505,236,235,1600
42776,3071,13,0,0,1464,192,249,2405
70395,2778,2,120,0,2089,215,238,1075
82955,3062,10,30,4,3178,202,224,458
84507,3084,12,85,12,2287,233,217,1260
52834,3207,11,42,4,4270,198,222,2016
64045,2939,11,90,9,5720,190,244,1583
69241,2952,10,85,22,1495,231,241,424
53023,2697,32,30,20,2523,233,158,2223
94039,2756,18,418,20,1218,212,252,780
54923,2399,18,150,63,979,197,202,713
76443,2955,11,417,38,5100,223,247,2758
50754,2880,21,518,184,1154,198,192,2255
30529,3301,12,309,43,1537,240,228,2325
77581,2781,15,190,39,3104,199,209,1053
76986,3060,11,150,14,3215,239,225,726
52399,2791,6,175,3,3181,216,228,5318
10609,3288,25,30,20,5529,145,234,781
27311,3133,2,134,4,2079,214,235,2654
93933,2952,19,42,12,1771,205,196,1263
4519,3212,11,564,79,5755,238,234,1550
7519,3094,5,339,67,4908,224,242,1742
50221,2907,17,579,261,1292,173,241,1914
48174,3114,11,270,49,5060,226,215,499
13256,3272,10,335,49,3161,223,247,850
45065,3105,20,175,62,330,161,226,1831
74012,3243,20,277,76,1324,181,202,2477
38781,2932,16,240,85,1702,240,236,2506
93660,3322,16,124,31,1530,244,216,3362
61734,3079,3,319,39,3226,213,240,1338
43922,2942,9,170,-1,4857,235,233,474
11650,2515,10,42,7,1006,218,219,924
87137,2758,21,0,0,1900,237,195,1806
788,3255,13,591,3,4385,187,227,875
23489,2742,4,127,-7,270,221,231,1092
74438,2871,21,324,-60,450,232,190,1959
8764,2973,24,485,188,2072,226,180,2118
57448,3263,11,0,0,3578,212,250,1543
75310,2653,12,95,-1,1436,228,214,1943
103293,3221,18,331,82,2394,171,221,216
79964,3128,9,272,32,1945,196,230,2514
114589,2854,5,391,56,2039,226,229,1604
6324,2887,20,534,153,277,214,192,1126
70055,3446,5,0,0,3141,206,239,2436
21846,3245,12,361,32,6280,232,215,810
81374,3394,20,659,210,3384,216,191,1761
20992,3265,25,190,1,2016,166,187,1651
50795,3244,16,240,37,1348,210,253,2706
87554,3168,15,210,20,5493,227,206,2308
105649,2743,13,488,92,2501,238,216,2118
69097,2934,9,451,49,2670,220,247,2190
29611,2825,12,153,34,2379,232,217,3250
40369,3029,6,42,0,2955,230,236,997
40650,3242,9,270,8,67,207,223,1031
55638,3089,14,170,34,2910,193,215,2315
78770,2993,17,90,16,4849,231,244,3384
94172,3372,6,741,43,976,225,243,4366
40590,2890,13,443,136,2597,190,222,1031
6465,3052,14,95,21,3090,193,251,1240
43599,2998,15,319,36,3135,231,209,6468
99936,3246,24,240,64,1421,244,191,2423
85618,2953,7,30,-1,5341,212,247,2308
74115,3159,13,624,66,3356,195,220,3139
82590,3149,6,342,37,1490,206,243,2315
74144,3332,18,162,43,5010,213,198,175
41967,3503,10,571,10,1230,235,223,691
86780,3129,26,234,-39,1060,239,180,1006
45604,3248,10,400,115,2828,216,249,1047
1326,3131,11,150,5,960,238,230,1846
40911,3081,6,95,17,3860,203,235,391
56970,3132,9,60,-1,1892,225,221,408
74022,3410,8,67,2,3100,228,242,997
52981,2702,11,153,1,1450,190,232,2167
53873,3136,1,95,5,636,220,238,2431
68276,2938,8,42,9,4063,198,233,4978
85620,2980,4,525,59,2118,222,242,2227
99541,3135,9,626,118,1618,206,222,2490
105011,2926,2,234,10,4981,223,238,1984
48491,2987,21,323,94,2670,211,252,858
41816,2520,6,150,35,983,207,233,721
14170,3359,9,908,157,3032,225,245,1072
29706,3243,12,350,50,4031,232,243,2007
15602,3008,10,711,99,5976,217,249,3461
111139,3073,10,30,5,1616,191,240,2094
115602,3271,7,216,2,1044,213,247,3167
78472,3039,17,323,27,242,179,216,1207
58135,3006,17,300,37,4752,210,253,685
57787,2485,14,503,95,1140,191,218,516
54283,2738,17,85,10,1485,190,208,2053
66623,2922,18,182,47,3726,247,214,2624
87558,2883,13,301,101,1660,205,213,1822
36789,3027,16,446,230,2748,176,243,1731
55252,3051,15,85,14,2989,205,253,765
105549,3336,16,201,68,3403,201,206,1761
61751,2812,10,283,14,511,233,240,470
35123,3061,12,150,20,691,224,247,1454
27724,3210,1,391,29,5816,220,236,2325
20787,3207,35,216,49,4801,185,141,1530
52468,2188,30,108,24,382,187,160,778
23591,3103,17,319,26,3639,224,200,2678
39444,3246,14,390,56,1350,243,226,1401
58772,2751,12,108,6,2197,225,247,1415
3617,2882,12,457,82,2343,220,249,1852
94290,2935,19,85,23,767,242,204,769
70551,3069,13,30,2,967,221,211,1200
52743,3189,8,228,-26,2888,217,223,1527
109231,2352,24,134,61,1282,252,214,942
111271,3085,15,234,48,3112,186,250,633
73761,3078,18,569,19,720,223,197,1084
20441,2994,7,351,62,3221,218,224,977
32931,3363,10,780,106,993,194,246,2250
83665,3052,19,150,23,2718,166,225,2794
97,3044,14,85,26,6622,227,247,3180
29798,2711,12,0,0,1261,238,235,1831
7116,2228,16,300,107,618,227,204,90
70370,2830,8,725,65,2132,200,245,1771
7132,2994,5,212,54,1885,214,230,750
107440,3128,13,60,16,1620,194,217,2322
758,2095,30,60,32,1018,131,191,277
71236,3012,12,127,18,1034,203,216,2568
14406,2901,11,417,59,2589,216,216,1184
4498,2905,13,42,1,2322,221,210,1690
89138,2846,26,309,66,2184,139,220,510
9919,3219,25,234,83,3901,164,190,3513
65793,3240,42,537,127,892,224,124,1801
79959,2819,9,0,0,1260,228,221,2312
15985,2985,16,300,82,4419,243,214,4826
95859,2354,13,85,3,390,241,227,779
83281,2946,12,190,13,3737,199,219,2341
63088,2630,28,120,47,1448,180,172,6609
74629,3314,10,300,32,1919,236,224,2550
3479,2194,30,60,14,1611,244,220,95
75693,3201,19,309,53,785,249,214,2783
10766,3142,14,192,13,3773,234,211,4825
107196,3051,21,684,14,2620,188,194,2402
111339,3266,11,362,49,3141,225,246,870
61183,2968,16,268,65,5202,186,251,1434
86303,2543,11,256,74,1075,239,225,752
112857,3317,8,30,0,1256,231,227,1470
37496,3089,6,180,10,1818,203,241,997
8543,3387,18,437,61,2922,214,252,1471
5510,2791,14,60,9,1027,192,216,2079
36938,2995,19,95,22,4566,242,202,1989
41489,3261,8,210,26,4370,226,224,932
62191,3404,16,30,10,5232,175,236,3810
53755,3162,21,458,104,3190,232,191,661
109501,3088,10,162,3,384,195,228,731
57827,3343,20,285,11,1485,161,230,2048
106507,3212,8,700,151,6181,200,245,1570
11601,3166,17,272,71,2052,176,222,2096
29034,2884,8,404,127,2168,224,245,684
43855,2585,21,190,54,819,244,198,600
96333,2541,9,283,33,808,208,224,811
17819,2610,6,277,41,1425,230,236,1437
33931,3408,16,319,49,5310,187,214,3423
26942,2398,14,170,20,1201,199,214,210
114084,3133,18,309,55,212,247,218,3744
36658,3320,12,534,91,1288,212,214,1766
55558,3006,11,124,26,2096,233,218,2728
17838,2193,30,67,12,636,159,171,532
31894,2738,8,330,107,890,232,225,977
32347,3168,20,210,58,1600,178,252,2272
104502,2732,24,153,69,2791,250,219,6510
64196,3292,22,469,145,446,155,239,845
7858,2352,18,0,0,404,213,252,1055
80828,2873,9,120,10,4045,232,223,6201
115701,2830,8,212,37,2195,202,231,1838
35058,3106,13,658,238,2054,233,214,2751
77350,3209,11,162,18,1499,208,217,2368
94203,3232,16,95,20,4146,246,221,1884
11499,2978,9,192,28,4118,235,237,849
3607,2885,32,216,75,1200,229,158,837
99926,2972,6,474,145,5072,207,232,5197
41680,2888,2,127,7,1142,213,240,2215
33559,2513,32,297,105,1421,210,152,518
79813,3317,8,134,13,2273,199,237,2372
95475,2626,11,150,14,721,236,222,1173
88939,2975,17,446,206,604,175,221,1279
93457,2978,6,509,19,3576,217,245,1041
37950,3315,2,466,87,4005,213,240,1325
85294,2948,11,0,0,840,240,229,1598
20772,3167,15,0,0,3078,245,225,1120
36930,3206,12,272,44,1269,238,235,2467
94387,2392,24,30,6,731,158,247,1482
105375,2406,25,395,132,391,250,196,942
64185,3021,12,258,66,532,189,229,713
109345,3099,12,218,50,3439,238,237,837
63885,2840,11,42,4,1234,236,221,789
116083,3035,20,930,166,2551,185,199,1411
37406,3346,8,350,146,2885,231,240,573
61894,3193,16,793,-9,1326,186,214,1559
87613,3238,13,228,-24,2908,186,244,391
54889,3175,14,175,14,914,241,234,2161
63462,3010,10,660,89,1543,217,218,560
39429,3080,13,242,10,2553,198,217,2285
83036,2688,36,150,68,591,230,146,1165
5157,3295,8,210,-18,4063,235,230,2280
114604,3033,22,470,222,1595,161,245,395
95511,2338,23,0,0,272,252,212,342
1043,3296,7,30,0,1570,231,238,3099
38376,2922,9,85,15,3225,236,230,2420
92870,2420,32,0,0,1489,164,250,595
32302,3048,3,210,0,2694,221,232,750
37604,2699,32,42,19,2654,154,167,6662
76066,3112,8,150,19,4625,219,223,2665
112950,3117,11,430,17,2012,231,217,1104
37680,2622,6,150,18,1641,231,234,902
5537,2693,29,85,53,1722,250,214,2656
52177,2999,21,553,171,571,232,190,834
71771,2931,23,108,34,1584,246,228,1867
68366,2315,33,242,154,787,207,150,417
64521,2828,18,95,31,2337,225,199,3031
69632,3398,4,242,50,1590,226,238,2922
104429,2988,4,485,69,5114,226,234,5542
58196,3116,8,190,21,5528,202,229,1182
69794,2765,12,258,51,3803,215,251,1867
52836,2942,9,644,27,2825,221,220,1321
78850,2883,24,85,44,2935,210,251,1312
33714,3168,13,150,36,5113,229,211,1187
4587,2632,18,350,59,752,227,199,2888
104599,2968,6,660,-52,1328,220,245,1632
62204,2893,8,127,38,3466,225,222,1800
3301,3133,8,120,38,4435,198,236,1324
2873,3144,7,295,-33,912,209,228,955
13928,3004,5,301,-6,6293,228,236,3690
16107,2633,26,124,43,1273,147,242,1110
15951,3091,20,339,80,1806,247,227,2182
18176,2978,0,313,26,4549,218,238,5629
1463,2700,5,0,0,959,222,243,1809
89704,3272,6,323,65,1566,203,235,2641
47070,2849,26,162,55,1103,172,184,1834
68588,2979,19,192,63,2915,180,252,2006
90374,3233,15,390,85,997,185,218,2154
51791,2977,19,150,39,2250,233,196,2012
28611,3269,19,150,-3,1337,245,230,2888
9427,3126,22,742,-48,4175,228,189,4089
3073,3001,2,255,16,5271,222,238,5142
112432,2734,25,255,65,1935,227,242,2234
31590,3125,13,469,77,1233,184,229,1165
37129,3015,10,153,25,4341,209,219,1180
30035,1944,32,30,20,67,147,167,551
107240,2971,28,216,58,5167,141,242,1441
80353,2939,7,216,20,5260,208,247,3882
60997,2929,25,212,93,860,164,250,674
94609,2958,5,0,0,5257,223,229,2427
109533,2541,8,390,16,1092,229,225,4054
60203,3010,7,391,25,1834,220,225,1342
89321,3071,15,180,4,1379,215,252,1279
59939,3373,7,283,41,2616,230,228,1622
11820,2725,4,0,0,1253,214,232,2248
75484,2859,6,402,61,2155,227,227,1839
25504,3298,33,242,75,3421,134,174,3940
12579,2966,29,277,133,933,176,252,459
33242,2921,4,150,12,4131,225,239,4275
87016,3126,5,212,50,2932,209,233,1312
91657,2672,11,306,103,644,213,217,1948
93215,3309,14,420,94,2052,238,215,2197
108321,2780,18,67,1,3180,227,200,765
45183,3378,23,270,108,3718,179,190,1848
36563,2935,20,30,-2,5047,244,201,443
45141,2996,23,108,32,700,231,187,618
48529,2678,7,180,8,1528,205,230,5604
35549,2361,19,30,10,1106,167,218,1146
106002,3381,20,42,3,2121,176,251,3486
81514,2242,24,30,11,807,252,206,424
19443,3200,17,108,4,1616,219,200,2393
41836,3059,24,331,0,1146,184,187,2156
39940,2991,17,201,58,577,196,206,1747
94127,2833,7,228,6,787,228,241,124
69233,3029,18,42,-8,2190,168,238,769
96766,3008,11,192,31,1060,233,220,2255
76933,2977,6,42,1,5451,216,227,2324
115538,2901,6,42,-1,967,218,226,2860
64284,3308,19,679,148,4262,172,214,2476
72457,3172,9,150,10,3037,235,233,3589
60256,3275,12,870,159,2311,241,223,2400
107181,3242,19,395,129,1146,247,209,2008
73672,3066,10,598,40,1610,236,224,2457
100328,2903,15,30,3,5254,226,207,4112
82927,3408,22,150,45,4078,251,218,3730
64276,2460,14,480,207,878,182,244,379
76576,2979,0,277,67,1590,218,237,1727
20172,2880,22,90,6,1800,232,189,1302
80137,3161,25,402,17,5975,175,184,1052
94167,3065,17,400,86,1597,207,253,3535
67543,3049,11,212,-4,2336,193,228,757
2514,3024,11,228,47,4986,234,240,3529
81721,2873,23,150,65,5113,149,229,4687
44277,2929,4,60,-1,1889,226,234,371
111646,3080,13,300,80,2568,183,237,1711
2671,3195,4,283,32,2652,217,243,968
56056,3088,5,150,13,4626,211,232,3137
68639,2256,33,30,16,902,146,165,1172
75292,3353,10,180,31,1940,237,228,3340
63032,2913,32,212,96,1024,118,208,1377
5058,2863,4,218,58,2174,226,233,2670
110593,2945,20,67,-21,511,239,198,384
99008,2448,22,30,10,1259,183,195,706
49140,3018,8,324,57,3960,221,246,2550
52514,3389,14,577,164,4816,189,218,2896
61145,3132,17,256,39,3072,195,205,3272
101404,2423,17,42,11,426,177,216,934
14463,2768,4,108,16,2033,220,242,3495
86309,3161,6,600,77,295,215,246,2349
42227,3055,16,390,110,1678,212,203,3371
18956,2347,21,67,26,1092,251,210,1333
13072,3288,16,404,190,4227,172,236,1253
114642,3141,16,384,75,5866,178,247,2068
21396,2828,6,0,0,957,217,226,1974
106376,2370,17,108,51,706,201,254,633
113765,2795,12,153,34,2227,228,215,3427
74118,3267,4,270,22,5675,208,235,592
20942,3180,11,402,114,1816,230,218,2802
75836,3040,12,543,243,2685,207,251,1627
66667,2518,5,228,-16,598,228,234,684
695,2378,13,0,0,649,232,213,858
58324,2883,12,170,35,3463,236,239,1731
9206,2845,20,382,207,1620,197,254,1382
4449,3004,14,90,6,6265,237,213,3570
114535,3341,17,201,19,1994,243,209,3340
92703,2694,3,390,-16,967,221,233,1689
68489,2925,10,270,12,3549,236,227,4142
66979,2328,9,268,132,900,202,225,726
67548,2791,8,212,29,3211,220,221,5134
9626,2936,3,0,0,3618,221,232,6279
22571,3178,8,297,46,560,234,235,5520
97727,3297,10,371,95,5202,193,232,1355
73061,2954,29,283,123,295,140,188,968
12633,3060,4,342,-38,636,226,239,1463
77206,3328,13,60,15,2165,208,212,2178
8751,2562,18,228,72,1092,241,205,781
74771,3324,7,268,56,3234,202,235,1806
90940,2978,13,190,19,3668,226,211,5301
94481,2975,13,297,56,5439,213,251,3245
74036,3115,24,711,301,1742,229,242,577
20225,2923,6,323,39,1498,207,244,1320
3592,2932,3,120,19,4747,212,235,3882
116133,2900,4,351,33,4134,221,231,6443
90289,2735,20,42,15,446,187,254,2329
63542,3176,5,180,16,5253,223,229,2955
98804,3107,3,30,0,918,218,232,1691
18346,3376,9,390,0,3100,195,240,1874
98271,2786,17,497,-23,1718,221,200,2227
93821,3113,16,297,70,2970,185,215,2444
87323,2988,5,418,23,4926,229,236,5474
13970,2666,12,240,-19,926,213,213,1848
33119,3338,14,485,83,3461,186,220,3414
32998,2945,10,234,26,5314,226,246,3714
27804,3375,12,840,118,1048,189,244,2190
89295,2726,24,255,126,2932,168,252,1411
30800,2703,17,182,6,2032,221,250,371
5737,3167,19,60,24,4843,166,225,992
61222,2422,12,306,81,811,226,247,1195
65071,3199,17,256,6,1972,235,205,750
3210,3059,10,108,21,1919,221,218,1756
46636,2717,24,240,-31,2442,199,253,1740
64109,3178,6,150,-13,2043,224,228,738
22638,3189,7,408,-17,598,227,242,2205
114732,2995,10,408,76,4952,213,220,5931
63301,3348,13,495,58,3564,183,233,1560
115953,3049,2,331,-8,2744,221,236,892
21894,2779,24,283,113,2040,215,248,2175
65434,3065,16,395,-42,474,241,235,1674
11789,3004,12,190,34,895,213,214,1934
23785,2789,3,30,2,2250,218,232,1291
106188,3199,7,277,33,426,211,226,2145
38925,2744,21,309,-33,1168,166,208,2089
1575,3221,2,457,49,4348,214,237,1712
74759,3152,12,234,54,175,240,229,2110
75299,2948,11,323,74,845,196,226,1869
39693,2937,21,150,54,2947,180,253,2110
